folder,clip_filename,game_id,game_clock,distance_ft,result,shot_type,video_time,note,release_frame,seed_frame,seed_x1,seed_y1,seed_x2,seed_y2,extra_seeds,pose_issue
pull_up,OKC_DEN_0309_1_0409_pull_up_2011.mp4,DEN_0309_1,4:09,25,未中,Pull-up,20:11,,85,76,1004,575,1114,776,"[[75, 1063, 684, 1064, 684]]",
pull_up,OKC_DEN_0309_1_0337_pull_up_2044.mp4,DEN_0309_1,3:37,12,命中,Pull-up,20:44,J.Williams助攻,48,38,933,392,1030,683,[],
pull_up,OKC_DEN_0309_1_0033_pull_up_2758.mp4,DEN_0309_1,0:33,16,命中,Pull-up,27:58,SGA助攻,65,55,983,366,1069,576,[],
pull_up,OKC_DEN_0309_2_0857_pull_up_0520.mp4,DEN_0309_2,8:57,25,命中,Pull-up,05:20,无助攻，三分,65,56,1195,242,1290,455,[],yes
pull_up,OKC_DEN_0309_2_0834_pull_up_0603.mp4,DEN_0309_2,8:34,26,未中,Pull-up,06:03,三分,73,63,1333,369,1438,569,[],yes
pull_up,OKC_DEN_0309_2_0803_pull_up_1019.mp4,DEN_0309_2,8:03,26,未中,Pull-up,10:19,三分,73,63,1212,529,1317,760,[],
pull_up,OKC_IND_1023_1_0501_pull_up_1735.mp4,IND_1023_1,5:01,15,未中,Pull-up,17:35,,57,47,1095,380,1202,579,"[[47, 1095, 380, 1202, 579], [47, 1095, 380, 1202, 579], [48, 1094, 376, 1201, 580], [48, 1094, 376, 1201, 580], [48, 1094, 376, 1201, 580], [49, 1102, 368, 1200, 581], [50, 1101, 348, 1192, 579], [50, 1101, 348, 1192, 579], [51, 1103, 332, 1191, 580], [51, 1103, 332, 1191, 580], [52, 1102, 313, 1187, 578], [52, 1102, 313, 1187, 578], [53, 1101, 308, 1187, 574], [54, 1098, 300, 1183, 567], [54, 1098, 300, 1183, 567], [55, 1084, 294, 1178, 563], [56, 1102, 311, 1175, 560], [56, 1102, 311, 1175, 560], [57, 1103, 322, 1175, 560], [57, 1103, 322, 1175, 560], [58, 1098, 329, 1174, 562], [58, 1098, 329, 1174, 562], [58, 1098, 329, 1174, 562], [59, 1095, 333, 1173, 567], [59, 1095, 333, 1173, 567], [60, 1093, 336, 1179, 574], [60, 1093, 336, 1179, 574], [61, 1090, 327, 1176, 580], [61, 1090, 327, 1176, 580], [62, 1090, 335, 1182, 596], [62, 1090, 335, 1182, 596], [63, 1087, 344, 1185, 607], [63, 1087, 344, 1185, 607]]",
pull_up,OKC_IND_1023_1_0003_pull_up_2738.mp4,IND_1023_1,0:03,26,未中,Pull-up,27:38,三分,77,67,1301,324,1383,509,"[[67, 1301, 324, 1383, 509], [68, 1299, 327, 1380, 510], [68, 1299, 327, 1380, 510], [69, 1287, 313, 1381, 512], [69, 1287, 313, 1381, 512], [70, 1262, 305, 1377, 511], [70, 1262, 305, 1377, 511], [70, 1262, 305, 1377, 511], [71, 1225, 276, 1369, 511], [71, 1225, 276, 1369, 511], [72, 1238, 263, 1365, 510], [72, 1238, 263, 1365, 510], [73, 1231, 260, 1362, 513], [73, 1231, 260, 1362, 513], [74, 1233, 245, 1361, 524], [74, 1233, 245, 1361, 524], [75, 1231, 235, 1349, 526], [75, 1231, 235, 1349, 526], [75, 1231, 235, 1349, 526], [86, 1210, 338, 1293, 559], [86, 1210, 338, 1293, 559], [86, 1210, 338, 1293, 559]]",yes
catch_and_shoot,OKC_IND_1023_3_0003_catch_and_shoot_2810.mp4,IND_1023_3,0:03,25,未中,Catch-and-shoot,28:10,三分,65,55,909,686,1032,956,"[[55, 909, 686, 1032, 956], [56, 909, 685, 1049, 955], [56, 909, 685, 1049, 955], [57, 910, 683, 1057, 952], [57, 910, 683, 1057, 952], [57, 910, 683, 1057, 952], [57, 910, 683, 1057, 952], [57, 910, 683, 1057, 952], [58, 914, 655, 1058, 949], [58, 914, 655, 1058, 949], [59, 913, 635, 1057, 944], [59, 913, 635, 1057, 944], [60, 890, 610, 1062, 940], [60, 890, 610, 1062, 940]]",yes
pull_up,OKC_IND_1023_4_0614_pull_up_1448.mp4,IND_1023_4,6:14,25,未中,Pull-up,14:48,三分,61,54,387,463,484,687,"[[54, 387, 463, 484, 687]]",
pull_up,OKC_MEM_0109_2_0341_pull_up_1938.mp4,MEM_0109_2,3:41,13,未中,Pull-up,19:38,,63,53,1134,278,1237,488,"[[53, 1134, 278, 1237, 488], [54, 1142, 253, 1233, 489], [54, 1142, 253, 1233, 489], [55, 1145, 238, 1231, 490], [55, 1145, 238, 1231, 490], [56, 1145, 218, 1220, 490], [56, 1145, 218, 1220, 490], [62, 1124, 177, 1209, 477], [62, 1124, 177, 1209, 477], [68, 1115, 242, 1204, 531], [68, 1115, 242, 1204, 531], [69, 1132, 246, 1206, 546], [69, 1132, 246, 1206, 546], [72, 1141, 305, 1220, 566], [72, 1141, 305, 1220, 566]]",
pull_up,OKC_MEM_0109_2_0056_pull_up_2852.mp4,MEM_0109_2,0:56,26,未中,Pull-up,28:52,三分,65,55,1019,631,1149,842,"[[55, 1019, 631, 1149, 842], [56, 1019, 627, 1141, 843], [56, 1019, 627, 1141, 843], [57, 1021, 616, 1137, 842], [57, 1021, 616, 1137, 842], [60, 1029, 560, 1141, 841], [60, 1029, 560, 1141, 841], [68, 1047, 503, 1152, 814], [68, 1047, 503, 1152, 814], [69, 1050, 515, 1154, 820], [69, 1050, 515, 1154, 820], [71, 1053, 528, 1162, 846], [71, 1053, 528, 1162, 846], [76, 1054, 625, 1184, 929], [76, 1054, 625, 1184, 929], [76, 1054, 625, 1184, 929], [80, 1080, 711, 1239, 956], [80, 1080, 711, 1239, 956], [80, 1080, 711, 1239, 956], [83, 1169, 722, 1297, 982], [83, 1169, 722, 1297, 982], [85, 1197, 724, 1334, 980], [85, 1197, 724, 1334, 980], [89, 1292, 735, 1401, 968], [89, 1292, 735, 1401, 968], [91, 1328, 735, 1443, 985], [91, 1328, 735, 1443, 985], [92, 1348, 735, 1461, 986], [92, 1348, 735, 1461, 986], [94, 1382, 737, 1503, 985], [94, 1382, 737, 1503, 985], [96, 1430, 743, 1551, 985], [96, 1430, 743, 1551, 985], [96, 1430, 743, 1551, 985], [98, 1479, 749, 1604, 982], [98, 1479, 749, 1604, 982]]",
